Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY","PROG BIOPHYS MOL BIO","0079-6107","1873-1732","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.8","0.55","3.3"," 134/285 "," 203/315 "
"PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY","PROG BIOPHYS MOL BIO","0079-6107","1873-1732","BIOPHYSICS - SCIE","3.8","0.55","3.3"," 18/70 "," 40/74 "
"MOLECULES AND CELLS","MOL CELLS","1016-8478","0219-1032","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.8","0.52","4.7"," 134/285 "," 216/315 "
"MOLECULES AND CELLS","MOL CELLS","1016-8478","0219-1032","CELL BIOLOGY - SCIE","3.8","0.52","4.7"," 113/191 "," 143/203 "
"CELL STRESS & CHAPERONES","CELL STRESS CHAPERON","1355-8145","1466-1268","CELL BIOLOGY - SCIE","3.8","0.48","3.7"," 113/191 "," 150/203 "
"Geobiology","GEOBIOLOGY","1472-4677","1472-4669","BIOLOGY - SCIE","3.7","0.89","3.9"," 28/92 "," 30/111 "
"Epigenetics","EPIGENETICS-US","1559-2294","1559-2308","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.7","0.77","4.6"," 143/285 "," 121/315 "
"ACTA BIOCHIMICA ET BIOPHYSICA SINICA","ACTA BIOCH BIOPH SIN","1672-9145","1745-7270","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.7","0.71","3.9"," 143/285 "," 143/315 "
"ACTA BIOCHIMICA ET BIOPHYSICA SINICA","ACTA BIOCH BIOPH SIN","1672-9145","1745-7270","BIOPHYSICS - SCIE","3.7","0.71","3.9"," 20/70 "," 31/74 "
"CYTOMETRY PART A","CYTOM PART A","1552-4922","1552-4930","CELL BIOLOGY - SCIE","3.7","0.66","3.8"," 116/191 "," 100/203 "
"EXPERIMENTAL CELL RESEARCH","EXP CELL RES","0014-4827","1090-2422","CELL BIOLOGY - SCIE","3.7","0.62","3.8"," 116/191 "," 109/203 "
"BIOLOGICAL CHEMISTRY","BIOL CHEM","1431-6730","1437-4315","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.7","0.58","3.8"," 143/285 "," 190/315 "
"Nucleus","NUCLEUS-PHILA","1949-1034","1949-1042","CELL BIOLOGY - SCIE","3.7","0.25","2.9"," 116/191 "," 192/203 "
"JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY","J BIOCHEM MOL TOXIC","1095-6670","1099-0461","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.6","0.75","3.6"," 146/285 "," 127/315 "
"MOLECULAR IMMUNOLOGY","MOL IMMUNOL","0161-5890","1872-9142","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.6","0.68","4"," 146/285 "," 154/315 "
"MOLECULAR MICROBIOLOGY","MOL MICROBIOL","0950-382X","1365-2958","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.6","0.66","3.7"," 146/285 "," 161/315 "
"CELL BIOCHEMISTRY AND FUNCTION","CELL BIOCHEM FUNCT","0263-6484","1099-0844","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.6","0.5","3.5"," 146/285 "," 224/315 "
"CELL BIOCHEMISTRY AND FUNCTION","CELL BIOCHEM FUNCT","0263-6484","1099-0844","CELL BIOLOGY - SCIE","3.6","0.5","3.5"," 119/191 "," 147/203 "
"CELL AND TISSUE RESEARCH","CELL TISSUE RES","0302-766X","1432-0878","CELL BIOLOGY - SCIE","3.6","0.45","4.4"," 119/191 "," 152/203 "
"HUMAN MOLECULAR GENETICS","HUM MOL GENET","0964-6906","1460-2083","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.5","0.92","5.1"," 150/285 "," 82/315 "
"JOURNAL OF BIOLOGICAL RHYTHMS","J BIOL RHYTHM","0748-7304","1552-4531","BIOLOGY - SCIE","3.5","0.91","3.9"," 29/92 "," 28/111 "
"BULLETIN OF MATHEMATICAL BIOLOGY","B MATH BIOL","0092-8240","1522-9602","BIOLOGY - SCIE","3.5","0.85","2.4"," 29/92 "," 33/111 "
"BIOORGANIC & MEDICINAL CHEMISTRY","BIOORGAN MED CHEM","0968-0896","1464-3391","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.5","0.83","3.3"," 150/285 "," 106/315 "
"Biomechanics and Modeling in Mechanobiology","BIOMECH MODEL MECHAN","1617-7959","1617-7940","BIOPHYSICS - SCIE","3.5","0.8","3.3"," 21/70 "," 20/74 "
"JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN","J COMPUT AID MOL DES","0920-654X","1573-4951","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.5","0.8","3.1"," 150/285 "," 113/315 "
"JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN","J COMPUT AID MOL DES","0920-654X","1573-4951","BIOPHYSICS - SCIE","3.5","0.8","3.1"," 21/70 "," 20/74 "
"MOLECULAR PLANT-MICROBE INTERACTIONS","MOL PLANT MICROBE IN","0894-0282","1943-7706","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.5","0.78","4.1"," 150/285 "," 116/315 "
"JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY","J TRACE ELEM MED BIO","0946-672X","1878-3252","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.5","0.74","3.6"," 150/285 "," 131/315 "
"AMINO ACIDS","AMINO ACIDS","0939-4451","1438-2199","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.5","0.57","3.5"," 150/285 "," 194/315 "
"BIOMETALS","BIOMETALS","0966-0844","1572-8773","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.5","0.56","3.3"," 150/285 "," 200/315 "
"FEBS LETTERS","FEBS LETT","0014-5793","1873-3468","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.5","0.55","3.8"," 150/285 "," 203/315 "
"FEBS LETTERS","FEBS LETT","0014-5793","1873-3468","BIOPHYSICS - SCIE","3.5","0.55","3.8"," 21/70 "," 40/74 "
"FEBS LETTERS","FEBS LETT","0014-5793","1873-3468","CELL BIOLOGY - SCIE","3.5","0.55","3.8"," 121/191 "," 129/203 "
"JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY","J PHYSIOL BIOCHEM","1138-7548","1877-8755","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.4","0.9","3.9"," 158/285 "," 88/315 "
"BIOPHYSICAL JOURNAL","BIOPHYS J","0006-3495","1542-0086","BIOPHYSICS - SCIE","3.4","0.87","3.5"," 24/70 "," 17/74 "
"ADDICTION BIOLOGY","ADDICT BIOL","1355-6215","1369-1600","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.4","0.86","3.3"," 158/285 "," 99/315 "
"RADIATION RESEARCH","RADIAT RES","0033-7587","1938-5404","BIOLOGY - SCIE","3.4","0.75","3.1"," 31/92 "," 40/111 "
"RADIATION RESEARCH","RADIAT RES","0033-7587","1938-5404","BIOPHYSICS - SCIE","3.4","0.75","3.1"," 24/70 "," 25/74 "
"PROTEOMICS","PROTEOMICS","1615-9853","1615-9861","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.4","0.74","3.6"," 158/285 "," 131/315 "
"BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES","BBA-BIOMEMBRANES","0005-2736","1879-2642","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.4","0.73","3.5"," 158/285 "," 136/315 "
"BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES","BBA-BIOMEMBRANES","0005-2736","1879-2642","BIOPHYSICS - SCIE","3.4","0.73","3.5"," 24/70 "," 27/74 "
"CHEMISTRY AND PHYSICS OF LIPIDS","CHEM PHYS LIPIDS","0009-3084","1873-2941","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.4","0.72","2.9"," 158/285 "," 138/315 "
"CHEMISTRY AND PHYSICS OF LIPIDS","CHEM PHYS LIPIDS","0009-3084","1873-2941","BIOPHYSICS - SCIE","3.4","0.72","2.9"," 24/70 "," 29/74 "
"Metallomics","METALLOMICS","1756-5901","1756-591X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.4","0.68","4.2"," 158/285 "," 154/315 "
"CELLULAR MICROBIOLOGY","CELL MICROBIOL","1462-5814","1462-5822","CELL BIOLOGY - SCIE","3.4","0.55","3.5"," 122/191 "," 129/203 "
"Biology Letters","BIOL LETTERS","1744-9561","1744-957X","BIOLOGY - SCIE","3.3","0.86","3.7"," 32/92 "," 32/111 "
"Journal of Biological Research-Thessaloniki","J BIOL RES-THESSALON","1790-045X","2241-5793","BIOLOGY - SCIE","3.3","0.69","3.1"," 32/92 "," 45/111 "
"Journal of Tissue Engineering and Regenerative Medicine","J TISSUE ENG REGEN M","1932-6254","1932-7005","CELL BIOLOGY - SCIE","3.3","0.65","3.7"," 123/191 "," 104/203 "
"FREE RADICAL RESEARCH","FREE RADICAL RES","1071-5762","1029-2470","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.3","0.6","4.1"," 164/285 "," 181/315 "
"MOLECULAR AND CELLULAR PROBES","MOL CELL PROBE","0890-8508","1096-1194","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.3","0.6","2.8"," 164/285 "," 181/315 "
"MOLECULAR AND CELLULAR PROBES","MOL CELL PROBE","0890-8508","1096-1194","CELL BIOLOGY - SCIE","3.3","0.6","2.8"," 123/191 "," 113/203 "
"PHOTOCHEMISTRY AND PHOTOBIOLOGY","PHOTOCHEM PHOTOBIOL","0031-8655","1751-1097","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.3","0.58","3.2"," 164/285 "," 190/315 "
"PHOTOCHEMISTRY AND PHOTOBIOLOGY","PHOTOCHEM PHOTOBIOL","0031-8655","1751-1097","BIOPHYSICS - SCIE","3.3","0.58","3.2"," 28/70 "," 39/74 "
"PLATELETS","PLATELETS","0953-7104","1369-1635","CELL BIOLOGY - SCIE","3.3","0.56","3.4"," 123/191 "," 126/203 "
"Environmental Pollutants and Bioavailability","ENV POLLUT BIOAVAIL","2639-5932","2639-5940","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.3","0.54","3.3"," 164/285 "," 211/315 "
"MOLECULAR BIOLOGY OF THE CELL","MOL BIOL CELL","1059-1524","1939-4586","CELL BIOLOGY - SCIE","3.3","0.52","3.7"," 123/191 "," 143/203 "
"Channels","CHANNELS","1933-6950","1933-6969","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.3","0.47","3"," 164/285 "," 235/315 "
"PHYSIOLOGICAL MEASUREMENT","PHYSIOL MEAS","0967-3334","1361-6579","BIOPHYSICS - SCIE","3.2","0.78","3.2"," 29/70 "," 23/74 "
"INTERNATIONAL JOURNAL OF BIOMETEOROLOGY","INT J BIOMETEOROL","0020-7128","1432-1254","BIOPHYSICS - SCIE","3.2","0.76","3.6"," 29/70 "," 24/74 "
"CHEMBIOCHEM","CHEMBIOCHEM","1439-4227","1439-7633","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.2","0.66","2.9"," 169/285 "," 161/315 "
"BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS","BBA-PROTEINS PROTEOM","1570-9639","1878-1454","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.2","0.65","2.9"," 169/285 "," 166/315 "
"BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS","BBA-PROTEINS PROTEOM","1570-9639","1878-1454","BIOPHYSICS - SCIE","3.2","0.65","2.9"," 29/70 "," 35/74 "
"Biomicrofluidics","BIOMICROFLUIDICS","N/A","1932-1058","BIOPHYSICS - SCIE","3.2","0.65","3.1"," 29/70 "," 35/74 "
"Life-Basel","LIFE-BASEL","N/A","2075-1729","BIOLOGY - SCIE","3.2","0.64","3.2"," 34/92 "," 46/111 "
"Synthetic Biology","SYN BIOL","N/A","2397-7000","BIOLOGY - SCIE","3.2","0.63","3.4"," 34/92 "," 49/111 "
"Analytical Cellular Pathology","ANAL CELL PATHOL","2210-7177","2210-7185","CELL BIOLOGY - SCIE","3.2","0.59","3.6"," 127/191 "," 117/203 "
"Innate Immunity","INNATE IMMUN-LONDON","1753-4259","1753-4267","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.2","0.5","3.1"," 169/285 "," 224/315 "
"MAGNESIUM RESEARCH","MAGNESIUM RES","0953-1424","1952-4021","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.2","0.45","2.1"," 169/285 "," 242/315 "
"Cell Adhesion & Migration","CELL ADHES MIGR","1933-6918","1933-6926","CELL BIOLOGY - SCIE","3.2","0.43","4"," 127/191 "," 156/203 "
"JOURNAL OF MOLECULAR HISTOLOGY","J MOL HISTOL","1567-2379","1567-2387","CELL BIOLOGY - SCIE","3.2","0.4","2.9"," 127/191 "," 162/203 "
"JOURNAL OF HISTOCHEMISTRY & CYTOCHEMISTRY","J HISTOCHEM CYTOCHEM","0022-1554","1551-5044","CELL BIOLOGY - SCIE","3.2","0.36","3.3"," 127/191 "," 175/203 "
"BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","BIOCHEM BIOPH RES CO","0006-291X","1090-2104","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.1","0.72","3.2"," 173/285 "," 138/315 "
"BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","BIOCHEM BIOPH RES CO","0006-291X","1090-2104","BIOPHYSICS - SCIE","3.1","0.72","3.2"," 33/70 "," 29/74 "
"COMPUTATIONAL BIOLOGY AND CHEMISTRY","COMPUT BIOL CHEM","1476-9271","1476-928X","BIOLOGY - SCIE","3.1","0.71","2.7"," 36/92 "," 43/111 "
"MOLECULAR GENETICS AND GENOMICS","MOL GENET GENOMICS","1617-4615","1617-4623","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.1","0.67","3.1"," 173/285 "," 157/315 "
"PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES","PHOTOCH PHOTOBIO SCI","1474-905X","1474-9092","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.1","0.67","3.4"," 173/285 "," 157/315 "
"PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES","PHOTOCH PHOTOBIO SCI","1474-905X","1474-9092","BIOPHYSICS - SCIE","3.1","0.67","3.4"," 33/70 "," 34/74 "
"JOURNAL OF MOLECULAR NEUROSCIENCE","J MOL NEUROSCI","0895-8696","1559-1166","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.1","0.61","3.1"," 173/285 "," 178/315 "
"DNA AND CELL BIOLOGY","DNA CELL BIOL","1044-5498","1557-7430","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.1","0.59","3.1"," 173/285 "," 187/315 "
"DNA AND CELL BIOLOGY","DNA CELL BIOL","1044-5498","1557-7430","CELL BIOLOGY - SCIE","3.1","0.59","3.1"," 131/191 "," 117/203 "
"Carbohydrate Research","CARBOHYD RES","0008-6215","1873-426X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.1","0.53","2.5"," 173/285 "," 212/315 "
"CURRENT ISSUES IN MOLECULAR BIOLOGY","CURR ISSUES MOL BIOL","1467-3037","1467-3045","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.1","0.46","3.3"," 173/285 "," 241/315 "
"Frontiers in Bioscience-Landmark","FRONT BIOSCI-LANDMRK","2768-6701","2768-6698","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.1","0.43","3.9"," 173/285 "," 251/315 "
"Frontiers in Bioscience-Landmark","FRONT BIOSCI-LANDMRK","2768-6701","2768-6698","CELL BIOLOGY - SCIE","3.1","0.43","3.9"," 131/191 "," 156/203 "
"JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY","J BIOL INORG CHEM","0949-8257","1432-1327","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3","0.73","3.3"," 181/285 "," 136/315 "
"BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS","BBA-GEN SUBJECTS","0304-4165","1872-8006","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3","0.71","3.4"," 181/285 "," 143/315 "
"BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS","BBA-GEN SUBJECTS","0304-4165","1872-8006","BIOPHYSICS - SCIE","3","0.71","3.4"," 35/70 "," 31/74 "
"PEPTIDES","PEPTIDES","0196-9781","1873-5169","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3","0.69","3.1"," 181/285 "," 149/315 "
"Comparative Biochemistry and Physiology D-Genomics & Proteomics","COMP BIOCHEM PHYS D","1744-117X","1878-0407","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3","0.68","3.2"," 181/285 "," 154/315 "
"JOURNAL OF STRUCTURAL BIOLOGY","J STRUCT BIOL","1047-8477","1095-8657","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3","0.63","3.3"," 181/285 "," 174/315 "
"JOURNAL OF STRUCTURAL BIOLOGY","J STRUCT BIOL","1047-8477","1095-8657","BIOPHYSICS - SCIE","3","0.63","3.3"," 35/70 "," 37/74 "
"JOURNAL OF STRUCTURAL BIOLOGY","J STRUCT BIOL","1047-8477","1095-8657","CELL BIOLOGY - SCIE","3","0.63","3.3"," 133/191 "," 107/203 "
"TRANSGENIC RESEARCH","TRANSGENIC RES","0962-8819","1573-9368","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3","0.63","2.7"," 181/285 "," 174/315 "
"APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY","APPL BIOCHEM BIOTECH","0273-2289","1559-0291","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3","0.59","3"," 181/285 "," 187/315 "
"Chemical Biology & Drug Design","CHEM BIOL DRUG DES","1747-0277","1747-0285","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3","0.58","2.7"," 181/285 "," 190/315 "
"JOURNAL OF BIOENERGETICS AND BIOMEMBRANES","J BIOENERG BIOMEMBR","0145-479X","1573-6881","BIOPHYSICS - SCIE","3","0.55","3"," 35/70 "," 40/74 "
"JOURNAL OF BIOENERGETICS AND BIOMEMBRANES","J BIOENERG BIOMEMBR","0145-479X","1573-6881","CELL BIOLOGY - SCIE","3","0.55","3"," 133/191 "," 129/203 "
"PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS","PROSTAG LEUKOTR ESS","0952-3278","1532-2823","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3","0.55","3.3"," 181/285 "," 203/315 "
"PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS","PROSTAG LEUKOTR ESS","0952-3278","1532-2823","CELL BIOLOGY - SCIE","3","0.55","3.3"," 133/191 "," 129/203 "
"Tissue Engineering Part C-Methods","TISSUE ENG PART C-ME","1937-3384","1937-3392","CELL BIOLOGY - SCIE","3","0.54","3.1"," 133/191 "," 137/203 "
"PROTEIN JOURNAL","PROTEIN J","1572-3887","1875-8355","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3","0.51","2.8"," 181/285 "," 219/315 "
"GLYCOCONJUGATE JOURNAL","GLYCOCONJUGATE J","0282-0080","1573-4986","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3","0.47","2.8"," 181/285 "," 235/315 "
"JOURNAL OF ETHNOBIOLOGY","J ETHNOBIOL","0278-0771","2162-4496","BIOLOGY - SCIE","2.9","1.1","2.1"," 37/92 "," 21/111 "
"AMERICAN JOURNAL OF HUMAN BIOLOGY","AM J HUM BIOL","1042-0533","1520-6300","BIOLOGY - SCIE","2.9","0.91","2.4"," 37/92 "," 28/111 "
"NMR IN BIOMEDICINE","NMR BIOMED","0952-3480","1099-1492","BIOPHYSICS - SCIE","2.9","0.9","3.3"," 38/70 "," 15/74 "
"WOUND REPAIR AND REGENERATION","WOUND REPAIR REGEN","1067-1927","1524-475X","CELL BIOLOGY - SCIE","2.9","0.86","3.7"," 137/191 "," 76/203 "
"Animal Cells and Systems","ANIM CELLS SYST","1976-8354","2151-2485","CELL BIOLOGY - SCIE","2.9","0.84","2.1"," 137/191 "," 79/203 "
"CONNECTIVE TISSUE RESEARCH","CONNECT TISSUE RES","0300-8207","1607-8438","CELL BIOLOGY - SCIE","2.9","0.84","3.6"," 137/191 "," 79/203 "
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.81","2.4"," 192/285 "," 111/315 "
"FISH PHYSIOLOGY AND BIOCHEMISTRY","FISH PHYSIOL BIOCHEM","0920-1742","1573-5168","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.77","3.1"," 192/285 "," 121/315 "
"PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS","PROTEINS","0887-3585","1097-0134","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.75","2.9"," 192/285 "," 127/315 "
"PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS","PROTEINS","0887-3585","1097-0134","BIOPHYSICS - SCIE","2.9","0.75","2.9"," 38/70 "," 25/74 "
"ANALYTICAL BIOCHEMISTRY","ANAL BIOCHEM","0003-2697","1096-0309","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.63","3.2"," 192/285 "," 174/315 "
"Molecular Omics","MOL OMICS","N/A","2515-4184","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.6","3.2"," 192/285 "," 181/315 "
"PROTOPLASMA","PROTOPLASMA","0033-183X","1615-6102","CELL BIOLOGY - SCIE","2.9","0.59","3.3"," 137/191 "," 117/203 "
"Biochemistry and Cell Biology","BIOCHEM CELL BIOL","0829-8211","1208-6002","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.57","3"," 192/285 "," 194/315 "
"Biochemistry and Cell Biology","BIOCHEM CELL BIOL","0829-8211","1208-6002","CELL BIOLOGY - SCIE","2.9","0.57","3"," 137/191 "," 121/203 "
"International Journal of Genomics","INT J GENOMICS","2314-436X","2314-4378","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.57","2.7"," 192/285 "," 194/315 "
"DIFFERENTIATION","DIFFERENTIATION","0301-4681","1432-0436","CELL BIOLOGY - SCIE","2.9","0.56","2.9"," 137/191 "," 126/203 "
"BIOCHEMISTRY","BIOCHEMISTRY-US","0006-2960","1520-4995","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.55","2.9"," 192/285 "," 203/315 "
"JOURNAL OF BIOSCIENCES","J BIOSCIENCES","0250-5991","0973-7138","BIOLOGY - SCIE","2.9","0.55","2.7"," 37/92 "," 53/111 "
"PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY","PREP BIOCHEM BIOTECH","1082-6068","1532-2297","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.52","2.4"," 192/285 "," 216/315 "
"EXTREMOPHILES","EXTREMOPHILES","1431-0651","1433-4909","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.51","2.6"," 192/285 "," 219/315 "
"Plant Signaling & Behavior","PLANT SIGNAL BEHAV","1559-2316","1559-2324","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.51","2.9"," 192/285 "," 219/315 "
"PROSTAGLANDINS & OTHER LIPID MEDIATORS","PROSTAG OTH LIPID M","1098-8823","2212-196X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.5","2.9"," 192/285 "," 224/315 "
"PROSTAGLANDINS & OTHER LIPID MEDIATORS","PROSTAG OTH LIPID M","1098-8823","2212-196X","CELL BIOLOGY - SCIE","2.9","0.5","2.9"," 137/191 "," 147/203 "
"BIOPOLYMERS","BIOPOLYMERS","0006-3525","1097-0282","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.49","2.3"," 192/285 "," 229/315 "
"BIOPOLYMERS","BIOPOLYMERS","0006-3525","1097-0282","BIOPHYSICS - SCIE","2.9","0.49","2.3"," 38/70 "," 49/74 "
"CHEMISTRY & BIODIVERSITY","CHEM BIODIVERS","1612-1872","1612-1880","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.9","0.44","2.8"," 192/285 "," 245/315 "
"Cytoskeleton","CYTOSKELETON","1949-3584","1949-3592","CELL BIOLOGY - SCIE","2.9","0.33","2.4"," 137/191 "," 178/203 "
"CHRONOBIOLOGY INTERNATIONAL","CHRONOBIOL INT","0742-0528","1525-6073","BIOLOGY - SCIE","2.8","0.8","3.1"," 40/92 "," 35/111 "
"JOURNAL OF EXPERIMENTAL BIOLOGY","J EXP BIOL","0022-0949","1477-9145","BIOLOGY - SCIE","2.8","0.77","3.2"," 40/92 "," 38/111 "
"Journal of Biophotonics","J BIOPHOTONICS","1864-063X","1864-0648","BIOPHYSICS - SCIE","2.8","0.73","2.8"," 41/70 "," 27/74 "
"JOURNAL OF CHEMICAL NEUROANATOMY","J CHEM NEUROANAT","0891-0618","1873-6300","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.8","0.6","2.7"," 206/285 "," 181/315 "
"Cellular and Molecular Bioengineering","CELL MOL BIOENG","1865-5025","1865-5033","BIOPHYSICS - SCIE","2.8","0.53","2.6"," 41/70 "," 44/74 "
"Cellular and Molecular Bioengineering","CELL MOL BIOENG","1865-5025","1865-5033","CELL BIOLOGY - SCIE","2.8","0.53","2.6"," 145/191 "," 139/203 "
"CURRENT PHARMACEUTICAL BIOTECHNOLOGY","CURR PHARM BIOTECHNO","1389-2010","1873-4316","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.8","0.51","2.8"," 206/285 "," 219/315 "
"BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY","BIOTECHNOL APPL BIOC","0885-4513","1470-8744","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.8","0.49","2.6"," 206/285 "," 229/315 "
"MOLECULAR BIOLOGY REPORTS","MOL BIOL REP","0301-4851","1573-4978","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.8","0.43","2.7"," 206/285 "," 251/315 "
"BMC Molecular and Cell Biology","BMC MOL CELL BIOL","N/A","2661-8850","CELL BIOLOGY - SCIE","2.8","0.38","2.9"," 145/191 "," 167/203 "
"JOURNAL OF RECEPTORS AND SIGNAL TRANSDUCTION","J RECEPT SIG TRANSD","1079-9893","1532-4281","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.8","0.37","2.4"," 206/285 "," 269/315 "
"JOURNAL OF RECEPTORS AND SIGNAL TRANSDUCTION","J RECEPT SIG TRANSD","1079-9893","1532-4281","CELL BIOLOGY - SCIE","2.8","0.37","2.4"," 145/191 "," 172/203 "
"EUROPEAN CYTOKINE NETWORK","EUR CYTOKINE NETW","N/A","1952-4005","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2.8","0.36","3.5"," 206/285 "," 270/315 "
"EUROPEAN CYTOKINE NETWORK","EUR CYTOKINE NETW","N/A","1952-4005","CELL BIOLOGY - SCIE","2.8","0.36","3.5"," 145/191 "," 175/203 "
