Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
177,JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,"7,303",5.051,0.00569
178,CELLULAR AND MOLECULAR NEUROBIOLOGY,"6,220",5.046,0.00599
179,MOLECULES AND CELLS,"6,228",5.034,0.00638
180,STRUCTURE,"17,041",5.006,0.02294
181,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,"17,399",5,0.01569
182,MACROMOLECULAR BIOSCIENCE,"8,407",4.979,0.00554
183,JOURNAL OF LEUKOCYTE BIOLOGY,"21,186",4.962,0.01637
184,RNA,"14,914",4.942,0.01753
185,Metabolites,"3,956",4.932,0.00597
186,PLANT AND CELL PHYSIOLOGY,"21,654",4.927,0.01609
187,Skeletal Muscle,"1,657",4.912,0.00283
188,Biomedical Journal,"1,582",4.91,0.00222
189,Current Topics in Developmental Biology,"4,159",4.897,0.00681
190,Biomolecules,"10,162",4.879,0.01439
191,QUARTERLY REVIEW OF BIOLOGY,"4,781",4.875,0.00092
192,CELLULAR IMMUNOLOGY,"6,746",4.868,0.00712
193,MOLECULAR CARCINOGENESIS,"7,350",4.784,0.00782
194,BMB Reports,"3,847",4.778,0.00513
195,CURRENT OPINION IN LIPIDOLOGY,"4,741",4.776,0.00512
196,BIOCONJUGATE CHEMISTRY,"18,580",4.774,0.0172
197,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,"20,873",4.739,0.01731
198,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,"30,771",4.733,0.01697
199,PLANT SCIENCE,"20,176",4.729,0.01328
200,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,"10,252",4.714,0.00677
201,MEDIATORS OF INFLAMMATION,"16,551",4.711,0.02032
202,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,"12,873",4.698,0.01249
203,Pigment Cell & Melanoma Research,"5,765",4.693,0.0048
204,APOPTOSIS,"7,359",4.677,0.0044
205,RNA Biology,"8,697",4.652,0.01434
206,Life Science Alliance,"1,208",4.591,0.00426
207,COMPUTERS IN BIOLOGY AND MEDICINE,"9,751",4.589,0.01186
208,INFLAMMATION RESEARCH,"5,662",4.575,0.004
209,Frontiers in Physiology,"35,008",4.566,0.06361
210,Biology Direct,"2,265",4.54,0.00243
211,CELL CYCLE,"20,439",4.534,0.01608
212,CURRENT MEDICINAL CHEMISTRY,"21,279",4.53,0.01249
213,Epigenetics,"6,347",4.528,0.00653
214,Metallomics,"6,417",4.526,0.00704
215,HLA,"1,447",4.513,0.00174
216,EUROPEAN JOURNAL OF CELL BIOLOGY,"4,544",4.492,0.00242
217,Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,"8,701",4.49,0.00907
218,Expert Opinion on Drug Metabolism & Toxicology,"5,029",4.481,0.00516
219,BIOLOGY OF THE CELL,"2,602",4.458,0.00162
220,JOURNAL OF CELLULAR BIOCHEMISTRY,"30,567",4.429,0.02902
221,NITRIC OXIDE-BIOLOGY AND CHEMISTRY,"5,311",4.427,0.00461
222,ACS Chemical Neuroscience,"10,120",4.418,0.015
223,REDOX REPORT,"2,130",4.412,0.00097
224,MOLECULES,"88,952",4.411,0.09455
225,Geobiology,"2,793",4.407,0.0036
225,MOLECULAR IMMUNOLOGY,"14,321",4.407,0.01403
227,CYTOMETRY PART A,"5,695",4.355,0.0062
228,BIOESSAYS,"11,559",4.345,0.01168
229,PATHOBIOLOGY,"1,415",4.342,0.00141
230,ASTROBIOLOGY,"4,963",4.335,0.00557
231,CHROMOSOMA,"3,633",4.316,0.00366
232,CELLULAR SIGNALLING,"14,052",4.315,0.01056
233,GLYCOBIOLOGY,"9,067",4.313,0.00738
234,AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,"22,017",4.31,0.0114
235,HISTOCHEMISTRY AND CELL BIOLOGY,"5,312",4.304,0.00391
236,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,"12,816",4.292,0.01096
237,MOLECULAR PHYLOGENETICS AND EVOLUTION,"22,497",4.286,0.02216
238,ADDICTION BIOLOGY,"5,483",4.28,0.00677
239,Journal of Genetics and Genomics,"2,754",4.275,0.00376
240,MOLECULAR AND CELLULAR BIOLOGY,"59,220",4.272,0.01554
241,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,"18,210",4.249,0.0095
242,EUROPEAN JOURNAL OF HUMAN GENETICS,"12,623",4.246,0.01788
243,BMC CELL BIOLOGY,"2,263",4.241,0.00113
244,SAUDI JOURNAL OF BIOLOGICAL SCIENCES,"6,487",4.219,0.00724
245,Nucleus,"1,663",4.197,0.00311
246,Human Cell,"1,070",4.174,0.00104
247,MOLECULAR PLANT-MICROBE INTERACTIONS,"13,703",4.171,0.00682
248,Tissue Engineering and Regenerative Medicine,"1,293",4.169,0.00163
249,MITOCHONDRION,"4,982",4.16,0.00469
250,JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,"2,365",4.158,0.00239
251,JOURNAL OF INORGANIC BIOCHEMISTRY,"12,863",4.155,0.00659
252,FREE RADICAL RESEARCH,"9,040",4.148,0.00422
253,MOLECULAR BIOLOGY OF THE CELL,"35,317",4.138,0.02912
254,FEBS LETTERS,"54,620",4.124,0.02153
255,MOLECULAR AND CELLULAR ENDOCRINOLOGY,"18,715",4.102,0.01564
256,INFLAMMATION,"7,257",4.092,0.00796
257,JOURNAL OF GENERAL PHYSIOLOGY,"8,770",4.086,0.00651
258,BIOCHIMIE,"13,342",4.079,0.01072
259,ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY,"1,656",4.076,0.00115
259,PLANT MOLECULAR BIOLOGY,"17,172",4.076,0.00763
261,PHYTOCHEMISTRY,"37,013",4.072,0.00847
262,EXCLI Journal,"2,642",4.068,0.00287
263,CELL TRANSPLANTATION,"7,541",4.064,0.00725
264,BMC BIOCHEMISTRY,"1,046",4.059,0.00031
265,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,"16,609",4.052,0.01037
266,MOLECULAR HUMAN REPRODUCTION,"6,585",4.025,0.00354
267,PSYCHOPHYSIOLOGY,"17,106",4.016,0.01149
268,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,"26,354",4.013,0.01116
269,International Journal of Sports Physiology and Performance,"7,463",4.01,0.01148
270,Frontiers in Bioscience-Landmark,"10,370",4.009,0.00407
271,PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,"5,083",4.006,0.00321
272,NEUROCHEMICAL RESEARCH,"12,688",3.996,0.01065
273,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,"15,151",3.991,0.00995
274,PROTEOMICS,"15,553",3.984,0.0134
