Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
182	INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY	"7657"	3.618	0.00844
183	Tissue Engineering Part A	"9754"	3.616	0.01238
184	MECHANISMS OF AGEING AND DEVELOPMENT	"5666"	3.603	0.00502
185	BIOFACTORS	"3561"	3.598	0.00316
186	Science China-Life Sciences	"2451"	3.583	0.00609
187	Metallomics	"4520"	3.571	0.00915
188	Frontiers in Molecular Biosciences	"1069"	3.565	0.00424
189	ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS	"21948"	3.559	0.01407
190	AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY	"15579"	3.553	0.01313
191	MEDIATORS OF INFLAMMATION	"11203"	3.545	0.02633
192	World Journal of Stem Cells	"1271"	3.534	0.00339
193	MOLECULES AND CELLS	"4449"	3.533	0.00737
194	CHROMOSOMA	"3180"	3.53	0.00473
195	QUARTERLY REVIEW OF BIOLOGY	"4146"	3.519	0.00128
196	CELL STRUCTURE AND FUNCTION	"1014"	3.5	0.00081
197	Expert Opinion on Drug Metabolism & Toxicology	"3776"	3.487	0.00631
198	BMC CELL BIOLOGY	"1998"	3.485	0.00238
199	MITOCHONDRION	"3539"	3.449	0.00669
200	JOURNAL OF CELLULAR BIOCHEMISTRY	"17473"	3.448	0.01474
201	CYTOMETRY PART A	"4326"	3.433	0.00737
202	MOLECULAR CARCINOGENESIS	"5257"	3.411	0.008
203	CHEMICO-BIOLOGICAL INTERACTIONS	"11103"	3.407	0.01181
204	CELLULAR SIGNALLING	"11351"	3.388	0.01733
205	NITRIC OXIDE-BIOLOGY AND CHEMISTRY	"3910"	3.371	0.00495
206	CELLULAR & MOLECULAR BIOLOGY LETTERS	"1177"	3.367	0.00125
207	BIOCHIMIE	"10455"	3.362	0.01496
208	CELL AND TISSUE RESEARCH	"12152"	3.36	0.01405
209	Cell and Bioscience	"1379"	3.355	0.00367
210	EXPERIMENTAL CELL RESEARCH	"19656"	3.329	0.01922
211	Biology Letters	"9783"	3.323	0.01953
212	Journal of Tissue Engineering and Regenerative Medicine	"4776"	3.319	0.00768
213	JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS	"4064"	3.31	0.006
214	Metabolites	"1334"	3.303	0.00321
215	Cell Adhesion & Migration	"2229"	3.296	0.0045
216	HISTOPATHOLOGY	"9584"	3.294	0.01188
217	CELLULAR IMMUNOLOGY	"4932"	3.291	0.00583
218	CELL CYCLE	"16320"	3.259	0.02383
219	JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN	"4421"	3.25	0.00546
220	Food & Function	"8392"	3.241	0.01674
221	Acta Crystallographica Section D-Structural Biology	"21054"	3.227	0.01848
222	JOURNAL OF INORGANIC BIOCHEMISTRY	"11303"	3.224	0.00796
223	JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY	"9644"	3.202	0.01281
224	INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY	"15837"	3.144	0.01709
225	PLATELETS	"2710"	3.106	0.00502
225	PROTEOMICS	"14097"	3.106	0.01909
227	Interface Focus	"1942"	3.092	0.00485
228	CYTOKINE	"9645"	3.078	0.01421
229	MOLECULAR IMMUNOLOGY	"10780"	3.064	0.01469
230	INFLAMMATION RESEARCH	"4106"	3.061	0.00472
231	MOLECULES	"39342"	3.06	0.06205
232	IUBMB LIFE	"5495"	3.051	0.00584
233	EUROPEAN JOURNAL OF CELL BIOLOGY	"4097"	3.024	0.00427
234	DIFFERENTIATION	"2879"	3.022	0.00215
235	JOURNAL OF EXPERIMENTAL BIOLOGY	"32933"	3.017	0.03323
236	BIOLOGICAL CHEMISTRY	"5928"	3.014	0.0072
237	Biology Direct	"1864"	3.01	0.00369
238	MOLECULAR MEDICINE	"4918"	2.991	0.00477
239	BMB Reports	"2372"	2.966	0.00448
240	JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY	"2095"	2.965	0.00214
241	BIOCHEMISTRY	"74080"	2.952	0.05207
242	INFLAMMATION	"4515"	2.939	0.0082
243	JOURNAL OF MOLECULAR HISTOLOGY	"1344"	2.937	0.00153
244	GLYCOCONJUGATE JOURNAL	"2760"	2.926	0.00312
245	DNA AND CELL BIOLOGY	"3335"	2.918	0.00404
246	PHYTOCHEMISTRY	"30660"	2.905	0.01202
247	CELL STRESS & CHAPERONES	"3121"	2.903	0.00399
248	JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY	"3498"	2.895	0.00473
248	MACROMOLECULAR BIOSCIENCE	"6764"	2.895	0.00675
250	MOLECULAR AND CELLULAR BIOCHEMISTRY	"12522"	2.884	0.01214
251	PROCESS BIOCHEMISTRY	"17457"	2.883	0.01063
252	MOLECULAR GENETICS AND GENOMICS	"4251"	2.879	0.00578
253	PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY	"5112"	2.87	0.00585
254	PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS	"4230"	2.864	0.00435
255	Molecular BioSystems	"7475"	2.855	0.01593
256	WOUND REPAIR AND REGENERATION	"5808"	2.85	0.00611
257	FREE RADICAL RESEARCH	"6987"	2.825	0.00539
258	SAUDI JOURNAL OF BIOLOGICAL SCIENCES	"2746"	2.82	0.00441
259	Progress in Molecular Biology and Translational Science	"2395"	2.819	0.00652
260	BIOORGANIC & MEDICINAL CHEMISTRY	"29666"	2.802	0.02684
261	HLA	505	2.785	0.00075
262	NEUROCHEMICAL RESEARCH	"9744"	2.782	0.01203
263	RADIATION RESEARCH	"8561"	2.779	0.00648
264	Integrative Biology	"3346"	2.774	0.00803
265	Cytoskeleton	"1233"	2.72	0.00341
266	BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS	"82168"	2.705	0.07327
267	PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY	"4053"	2.703	0.00453
268	COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY	"6496"	2.697	0.00327
269	FEBS LETTERS	"49300"	2.675	0.03595
270	PEPTIDES	"9988"	2.659	0.00797
271	Lipids in Health and Disease	"4851"	2.651	0.00803
272	HISTOCHEMISTRY AND CELL BIOLOGY	"4308"	2.64	0.00503
273	Tissue Engineering Part C-Methods	"3268"	2.638	0.00525
274	PROTOPLASMA	"4754"	2.633	0.00515
275	Current Stem Cell Research & Therapy	"1205"	2.612	0.00194
276	Current Topics in Membranes	681	2.609	0.00215
277	CHEMBIOCHEM	"10991"	2.593	0.0182
278	BIOINORGANIC CHEMISTRY AND APPLICATIONS	851	2.583	0.00082
279	PHYSIOLOGICAL GENOMICS	"4426"	2.581	0.00419
280	JOURNAL OF MOLECULAR NEUROSCIENCE	"5244"	2.577	0.00789
281	Comparative Biochemistry and Physiology D-Genomics & Proteomics	969	2.573	0.00153
282	BMC MOLECULAR BIOLOGY	"2137"	2.568	0.00129
283	CHRONOBIOLOGY INTERNATIONAL	"5042"	2.562	0.00688
284	JOURNAL OF BIOENERGETICS AND BIOMEMBRANES	"2617"	2.548	0.00191
285	BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS	"7949"	2.54	0.01167
286	CHEMISTRY AND PHYSICS OF LIPIDS	"4379"	2.536	0.00418
287	BIOSCIENCE REPORTS	"3757"	2.535	0.00721
288	JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY	"1679"	2.523	0.00273
289	AMINO ACIDS	"8931"	2.52	0.01049
290	CURRENT ISSUES IN MOLECULAR BIOLOGY	681	2.511	0.00063
290	MOLECULAR AND CELLULAR PROBES	"1950"	2.511	0.00211
292	ANALYTICAL BIOCHEMISTRY	"38439"	2.507	0.0138
292	JOURNAL OF LIPOSOME RESEARCH	"1088"	2.507	0.0009
294	ACTA BIOCHIMICA ET BIOPHYSICA SINICA	"3243"	2.502	0.00437
295	PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS	"15425"	2.501	0.01231
296	CELL COMMUNICATION AND ADHESION	448	2.5	0.00049
297	Vitamins and Hormones	"1669"	2.494	0.00154
298	CHEMOECOLOGY	"1015"	2.488	0.00091
299	BIOLOGICAL RESEARCH	"1472"	2.482	0.00191
300	Cellular and Molecular Bioengineering	893	2.477	0.00238
301	JOURNAL OF BIOLOGICAL RHYTHMS	"3069"	2.473	0.00357
302	Neural Regeneration Research	"3648"	2.472	0.00893
303	BIOMETALS	"4187"	2.455	0.00314
304	JOURNAL OF CHEMICAL ECOLOGY	"10408"	2.447	0.00695
305	INSECT MOLECULAR BIOLOGY	"3397"	2.437	0.00294
306	BIOLOGICAL TRACE ELEMENT RESEARCH	"8489"	2.431	0.00807
307	Advances in Carbohydrate Chemistry and Biochemistry	604	2.429	0.00025
308	EUROPEAN JOURNAL OF HISTOCHEMISTRY	"1083"	2.425	0.00141
309	PROTEIN SCIENCE	"13425"	2.42	0.01437
310	PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES	"6422"	2.408	0.00646
311	YEAST	"4355"	2.395	0.00254
312	MedChemComm	"3599"	2.394	0.00765
313	JOURNAL OF HISTOCHEMISTRY & CYTOCHEMISTRY	"6933"	2.37	0.00347
314	Journal of Biological Research-Thessaloniki	330	2.364	0.0006
315	JOURNAL OF CHEMICAL NEUROANATOMY	"2315"	2.357	0.00228
316	Advances in Anatomy Embryology and Cell Biology	537	2.345	0.00103
