Journal name	ISSN	eISSN	Category	Total Citations	2020 JIF	JIF Quartile	2020 JCI	% of OA Gold
Probability Uncertainty and Quantitative Risk	2095-96722367-0126	"STATISTICS & PROBABILITY - ESCI"	"61"	n/a	"n/a"	0.64100.00%	
Journal of Modern Applied Statistical Methods	1538-94721538-9472	"STATISTICS & PROBABILITY - ESCI"	"1041"	n/a	"n/a"	0.150.00%	
Modern Stochastics-Theory and Applications	2351-60542351-6054	"STATISTICS & PROBABILITY - ESCI"	"74"	n/a	"n/a"	0.34100.00%	
Metron-International Journal of Statistics	0026-14242281-695X	"STATISTICS & PROBABILITY - ESCI"	"569"	n/a	"n/a"	0.3315.79%	
Journal of Statistics & Management Systems	0972-05102169-0014	"STATISTICS & PROBABILITY - ESCI"	"453"	n/a	"n/a"	0.420.00%	
Journal of Statistical Theory and Practice	1559-86081559-8616	"STATISTICS & PROBABILITY - ESCI"	"407"	n/a	"n/a"	0.323.65%	
Random Operators and Stochastic Equations	0926-63641569-397X	"STATISTICS & PROBABILITY - ESCI"	"112"	n/a	"n/a"	0.210.00%	
Advances and Applications in Statistics	0972-36170972-3617	"STATISTICS & PROBABILITY - ESCI"	"97"	n/a	"n/a"	0.090.00%	
Journal of Probability and Statistics	1687-952X	1687-9538	"STATISTICS & PROBABILITY - ESCI"	"228"	n/a	"n/a"	0.32100.00%	
Monte Carlo Methods and Applications	0929-96290929-9629	"STATISTICS & PROBABILITY - ESCI"	"644"	n/a	"n/a"	0.301.32%	
Korean Journal of Applied Statistics	1225-066X	2383-5818	"STATISTICS & PROBABILITY - ESCI"	"119"	n/a	"n/a"	0.090.00%	
Mathematical Methods of Statistics	1066-53071934-8045	"STATISTICS & PROBABILITY - ESCI"	"457"	n/a	"n/a"	0.240.00%	
SOUTH AFRICAN STATISTICAL JOURNAL	0038-271X	1996-8450	"STATISTICS & PROBABILITY - ESCI"	"91"	n/a	"n/a"	0.190.00%	
Journal of Algebraic Statistics	1309-34521309-3452	"STATISTICS & PROBABILITY - ESCI"	"23"	n/a	"n/a"	0.160.00%	
Austrian Journal of Statistics	1026-597X	1026-597X	"STATISTICS & PROBABILITY - ESCI"	"453"	n/a	"n/a"	0.33100.00%	
Chilean Journal of Statistics	0718-79120718-7920	"STATISTICS & PROBABILITY - ESCI"	"113"	n/a	"n/a"	0.360.00%	
Statistics and Applications	2454-73952454-7395	"STATISTICS & PROBABILITY - ESCI"	"195"	n/a	"n/a"	0.070.00%	
JP Journal of Biostatistics	0973-51430973-5143	"STATISTICS & PROBABILITY - ESCI"	"15"	n/a	"n/a"	0.020.00%	
Statistics & Risk Modeling	2193-14022196-7040	"STATISTICS & PROBABILITY - ESCI"	"167"	n/a	"n/a"	0.300.00%	
Thailand Statistician	1685-90572351-0676	"STATISTICS & PROBABILITY - ESCI"	"58"	n/a	"n/a"	0.150.00%	
Probability Surveys	1549-57871549-5787	"STATISTICS & PROBABILITY - ESCI"	"508"	n/a	"n/a"	1.0388.24%	
Journal of the SFdS	2102-62382102-6238	"STATISTICS & PROBABILITY - ESCI"	"198"	n/a	"n/a"	0.370.00%	
Dependence Modeling	2300-22982300-2298	"STATISTICS & PROBABILITY - ESCI"	"129"	n/a	"n/a"	0.39100.00%	
Statistics Surveys	1935-75161935-7516	"STATISTICS & PROBABILITY - ESCI"	"669"	n/a	"n/a"	1.01100.00%	
Statistica	0390-590X	1973-2201	"STATISTICS & PROBABILITY - ESCI"	"278"	n/a	"n/a"	0.2737.74%	
