Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,Eigenfactor
JOURNAL OF APPLIED PROBABILITY,0021-9002,1475-6072,"STATISTICS & PROBABILITY - SCIE","3,700",1.042,0.00277,
COMBINATORICS PROBABILITY & COMPUTING,0963-5483,1469-2163,"STATISTICS & PROBABILITY - SCIE","1,216",1.032,0.00335,
COMPUTATIONAL STATISTICS,0943-4062,1613-9658,"STATISTICS & PROBABILITY - SCIE","1,603",1.000,0.00220,
Brazilian Journal of Probability and Statistics,0103-0752,0103-0752,"STATISTICS & PROBABILITY - SCIE","389",0.988,0.00096,
Stochastics and Dynamics,0219-4937,1793-6799,"STATISTICS & PROBABILITY - SCIE","705",0.980,0.00126,
OPEN SYSTEMS & INFORMATION DYNAMICS,1230-1612,1793-7191,"STATISTICS & PROBABILITY - SCIE","461",0.977,0.00047,
International Journal of Biostatistics,2194-573X,1557-4679,"STATISTICS & PROBABILITY - SCIE","734",0.968,0.00119,
Stochastics-An International Journal of Probability and Stochastic Processes,1744-2508,1744-2516,"STATISTICS & PROBABILITY - SCIE","910",0.935,0.00150,
Hacettepe Journal of Mathematics and Statistics,N/A,2651-477X,"STATISTICS & PROBABILITY - SCIE","1,120",0.929,0.00192,
Sequential Analysis-Design Methods and Applications,0747-4946,1532-4176,"STATISTICS & PROBABILITY - SCIE","417",0.927,0.00043,
Journal of Official Statistics,0282-423X,0282-423X,"STATISTICS & PROBABILITY - SCIE","1,326",0.920,0.00121,
Stat,2049-1573,2049-1573,"STATISTICS & PROBABILITY - SCIE","342",0.917,0.00137,
COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,0361-0926,1532-415X,"STATISTICS & PROBABILITY - SCIE","7,018",0.893,0.00718,
JOURNAL OF THEORETICAL PROBABILITY,0894-9840,1572-9230,"STATISTICS & PROBABILITY - SCIE","1,188",0.888,0.00285,
CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,0319-5724,1708-945X,"STATISTICS & PROBABILITY - SCIE","1,569",0.875,0.00162,
STATISTICS & PROBABILITY LETTERS,0167-7152,1879-2103,"STATISTICS & PROBABILITY - SCIE","5,547",0.870,0.00789,
Journal of the Korean Statistical Society,1226-3192,2005-2863,"STATISTICS & PROBABILITY - SCIE","500",0.805,0.00106,
INFINITE DIMENSIONAL ANALYSIS QUANTUM PROBABILITY AND RELATED TOPICS,0219-0257,1793-6306,"STATISTICS & PROBABILITY - SCIE","1,004",0.793,0.00062,
ELECTRONIC COMMUNICATIONS IN PROBABILITY,1083-589X,1083-589X,"STATISTICS & PROBABILITY - SCIE","1,005",0.782,0.00378,
THEORY OF PROBABILITY AND ITS APPLICATIONS,0040-585X,1095-7219,"STATISTICS & PROBABILITY - SCIE","1,893",0.773,0.00079,
ESAIM-Probability and Statistics,1292-8100,1262-3318,"STATISTICS & PROBABILITY - SCIE","400",0.745,0.00065,
