Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING","AI EDAM","0890-0604","1469-1760","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2.1","0.37","2.1"," 109/145 "," 145/192 "
"AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING","AI EDAM","0890-0604","1469-1760","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2.1","0.37","2.1"," 84/110 "," 127/163 "
"Natural Computing","NAT COMPUT","1567-7818","1572-9796","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2.1","0.35","2"," 109/145 "," 147/192 "
"CCF Transactions on Pervasive Computing and Interaction","CCF T PERVAS COMPUT","2524-521X","2524-5228","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","2.1","0.28","2"," N/A "," 155/192 "
"CCF Transactions on Pervasive Computing and Interaction","CCF T PERVAS COMPUT","2524-521X","2524-5228","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","2.1","0.28","2"," N/A "," 137/163 "
"KNOWLEDGE ENGINEERING REVIEW","KNOWL ENG REV","0269-8889","1469-8005","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2.1","0.15","2.5"," 109/145 "," 178/192 "
"JOURNAL OF MATHEMATICAL IMAGING AND VISION","J MATH IMAGING VIS","0924-9907","1573-7683","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2","0.55","1.7"," 113/145 "," 102/192 "
"Engineering Reports","ENG REP","N/A","2577-8196","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","2","0.41","2"," N/A "," 120/163 "
"Forensic Science International-Digital Investigation","FORENS SCI INT-DIGIT","N/A","2666-2817","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2","0.39","2"," 88/110 "," 124/163 "
"IET Biometrics","IET BIOMETRICS","2047-4938","2047-4946","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2","0.38","2.6"," 113/145 "," 143/192 "
"INTELLIGENT AUTOMATION AND SOFT COMPUTING","INTELL AUTOM SOFT CO","1079-8587","2326-005X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2","0.38","1.6"," 113/145 "," 143/192 "
"ACM Transactions on Asian and Low-Resource Language Information Processing","ACM T ASIAN LOW-RESO","2375-4699","2375-4702","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2","0.34","2"," 113/145 "," 149/192 "
"JOURNAL OF INTELLIGENT & FUZZY SYSTEMS","J INTELL FUZZY SYST","1064-1246","1875-8967","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2","0.32","1.9"," 113/145 "," 151/192 "
"International Journal of Computational Science and Engineering","INT J COMPUT SCI ENG","1742-7185","1742-7193","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","2","0.27","1.9"," N/A "," 138/163 "
"MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS","MATH COMP MODEL DYN","1387-3954","1744-5051","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1.9","0.56","1.3"," 89/110 "," 93/163 "
